,edge_id,edge_from,edge_to
0,100307561,269395628,1978472091
1,10035426,2592685923,128969
2,10038010,146882,81479847
3,10038751,82444784,146870
4,100871343,281788,1099538663
5,100871346,25335965,281822
6,100871348,281784,282247
7,100871352,282261,281788
8,100871358,281812,25335917
9,100871360,282247,281812
10,100871363,281822,282261
11,100871364,1099538516,1099538478
12,100871370#1,100871370#1-AddedOnRampNode,281822
13,100871371,1099538663,281774
14,100871373,292345454,1099549787
15,1017966875,700070048,130116
16,108490429,301503292,375781
17,10893338,130114,3329995329
18,11285555,482714971,4416311841
19,112874029,2382830,3787575463
20,11855790,106370593,106370595_trimmed_02
21,121262011,1607553290,216326952
22,128901031,1423221592,1423221608
23,128901033,1423221465,8048966867
24,128901037,1423221723,1423221663
25,128901038,1423221645,1423221646
26,128901040,1794201,1423221608
27,128901042,1423221638,1423221510
28,128901043,1423221557,1423221612
29,128901055,1423221588,1423221521
30,128901063,1423221462,1423221587
31,132904500,8851960,1573049885
32,133659787,427301,3323891661
33,13589671,125070697,647745655_trimmed_02
34,13590178,2043498,647745644
35,136438751,247364977,1564111637
36,136439510,146887,247364973
37,136439511,146933,3331894068
38,141620461,281767,1593574609
39,141620495,281784,1550170701
40,141620509,141620509-AddedOnRampNode,281788
41,141620517#1.51,141620517#1_trimmed,282247
42,141620518,282261,292344035
43,142790230,268573602,142790230-AddedOffRampNode
44,142790230-AddedOffRampEdge,142790230-AddedOffRampNode,21690967
45,142791203,21690967,1878022025
46,142937974,146886,146887
47,142937976,1585011680,247364977
48,142937978,269395641,2619974850
49,142948410,3850232456,82745221
50,142948412,82745221,375841
51,143474812,1607553290,20958702_trimmed_1
52,143476001,471965,147025
53,143476007,21053060,778269332
54,143690723,147162,1572493959
55,143702458,12778935,1961449270
56,143750308,1572998454,1572998476
57,143755676,8851960,1573049909
58,143755677,434456,17073440
59,143755681,375764,4213687258
60,143755684,269310398,301761611
61,143885663,146774,146773
62,143948514,21690967,375845
63,144035532,21690978,2619671722
64,144117526,2043498,298488780_trimmed_01
65,144118673,1562597907,1580169075
66,144458616,2383195,1059694872
67,144554280,330714394,1794227
68,144554281,125070679,125075834
69,144554282,146729,125070697
70,144555137,1581762656,1580998399
71,144556656,264369129,8059872476
72,144557361,146622,1581043485
73,144574006,1581188897,1029615040
74,144575128,130122,129937
75,144575132,2592685923,129950
76,144598720,434456,11586926
77,144598722,1573049885,434456
78,144598725,17073440,21550597
79,144598726,21550597,301760430
80,144599494,14388264,21550593
81,144599495,14388263,14388264
82,144599496,269310398,14388263
83,144655314,375729,1581762709
84,144655317,146717,3330241909
85,144929328,1099465477,471885
86,145035982,1585011680,1045289217
87,145307249,357215,1029614925
88,145308670,269724796,315862636
89,145337518,2383195,3323891454
90,145430067,147159,2619847847
91,145571948,262871,262872
92,145630548,1590077889,264369129
93,145779209,129009,5237044753
94,145779210#0,129002,1591263602
95,146070306,281774,364882784
96,146070307,1099538478,292345454
97,146070308,1099538478,281767
98,146070309,1099538529,281767
99,146070310,1593574609,8048905814
100,146072518,1099560796,772779090
101,146072519,293682866,12589290
102,146074662,1099538607,1099538589
103,146238101.32,16526431_trimmed_01,1099560799
104,147549255,146754,2382778
105,149392147,1623777535,30419715_trimmed_01
106,149394036,128970,1623802377
107,149795919,1627457767,1577763072
108,149800403#0,149800403#0-AddedOnRampNode,564060
109,149800403#0-AddedOnRampEdge,292342693,149800403#0-AddedOnRampNode
110,149802998#0,1627520200,2429987872
111,149803000#0,1627520203,2429987884
112,149803004,1623802377,129937
113,152279744#0,412383917,21583524
114,152279745,412383922,267723
115,152279770#0,412383912,1639720579
116,152279771,412383916,292348144
117,153077009,1658191516,147162
118,153080102,434477,301761879
119,153082872,269396685,3331556515
120,153100076,1658373426,146886
121,154928859,375845,247368059
122,154929363,81479847,81479849
123,154929366,81479849,82444784
124,159542591,1716515075,3252894187
125,164407410,3126145034,26458251
126,164407411,21600328,1329738792
127,164407575,26458251,1099538454
128,17146990,178117528,1607570479
129,17147000,21550593,301762153
130,17257022,375852,410206930
131,17551649.66,20958702_trimmed_2,216326952
132,17552771,1358003274,181764514
133,17552788,181764519,3176509736
134,177359480,1878022039,268348877
135,177359481,1878021876,147159
136,177359482,1878022043,1878022039
137,177359483,5141837170,1878021900
138,177359487,82745221,21690972
139,189228362,3792289088,7138388910
140,193128685,1329738792,262868
141,19410154,146913,269395636
142,194472688,2049789044,2956950065
143,194472690,146754,146739
144,194472691,1045289217,146870
145,194472692,1685004114,12778935
146,194472693,249309576,249309579
147,194474236,2383200,301760430
148,194474237,125070697,1581762617
149,194605224,2004006687,540203
150,194605227,2051085567,8048983486
151,194606310,375734,18277418
152,194606311,375764,375772
153,194606312,125070679,J3
154,194607696,375809,2041194
155,194607697,1572998454,375781
156,194615580,375834,21493515
157,19798104,2273102323,647745644
158,198358388,25335917,282665749
159,198359298,129950,130122
160,198362552,129937,1627466140
161,198362553,130122,1913949867
162,198366313,273165,2844174965
163,199356093,269396599,269395641
164,199479280,292339971,129950
165,20354074,531076597,147038
166,205696726,1099538529,364882784
167,205696727,2156703848,129055
168,205696728,375630,375625
169,205696729,440566,1029615236
170,205696730,129055,375630
171,205696733,2156703728,282268
172,205696734,1165723266,2156703728
173,205696736,2156703735,25335917
174,205697739,7138388910,2021567520
175,205697740,2021567520,1059694872
176,205697741,1999942917,224348417
177,205697742,375641,1999942917
178,205697743,224348417,2156714379
179,205697744,2156714379,7138388907
180,210386343,2204616517,146773
181,210389050,11597149,21493515
182,211779379,1878022043,706558374
183,217356700,224348461,1059878661
184,219404823,130116,130114
185,227043214,129934,273158
186,227043218,564062,3329934596
187,227043239,129935,128963
188,228709306,249309576,253387944
189,22958443,247368773,269396685
190,233223712,1951579828,249309579
191,234874705,2429987872,128958
192,237841427,375614,375617
193,2384687,281774,292345454
194,24034429.48,30419715_trimmed_02,104738806
195,2413197,564068,273159
196,2413201,129934,129935
197,2413202,29399606,3329934602
198,2413203#0,128959,130125
199,2413204,128963,2844138875
200,2413205,564059,2156703755
