,edge_id,edge_from,edge_to,edge_type,seg_edges,edge_type_cat
0,194472688,2049789044,2956950065,influx,,influx
1,210389050,11597149,21493515,influx,,influx
2,210386343,2204616517,146773,influx,,influx
3,35158447,412383914,412383916,influx,,influx
4,35158449,412383920,412383922,influx,,influx
5,361382424,3658652658,2619559994,influx,,influx
6,397145882,1814253638,34035893,influx,,influx
7,19798104,2273102323,647745644,influx,,influx
8,194605224,2004006687,540203,influx,,influx
9,3996472.111,269310398_trimmed_01,269310398,influx,,influx
10,17552771,1358003274,181764514,influx,,influx
11,17551649.66,20958702_trimmed_2,216326952,influx,,influx
12,401794355,1423221486,1423221569,influx,,influx
13,153080102,434477,301761879,influx,,influx
14,4343910,21600325,21600328,influx,,influx
15,4496344,4496344-AddedOnRampNode,1281954197,influx,,influx
16,146238101.32,16526431_trimmed_01,1099560799,influx,,influx
17,4496345.43,9489395_trimmed_01,375641,influx,,influx
18,145307249,357215,1029614925,influx,,influx
19,490191872,490191872-AddedOnRampNode,27457786,influx,,influx
20,504568280#0,4947143814,1393033848,influx,,influx
21,144574006,1581188897,1029615040,influx,,influx
22,34955362,375858,410206930,influx,,influx
23,144554280,330714394,1794227,influx,,influx
24,22958443,247368773,269396685,influx,,influx
25,24034429.48,30419715_trimmed_02,104738806,influx,,influx
26,290153186,1593504896,2936875423,influx,,influx
27,290420128,1989443541,2383195,influx,,influx
28,29265204,265199,8543497362,influx,,influx
29,298806246,410206969,146933,influx,,influx
30,301110094,3052214876,3785928899,influx,,influx
31,28764145.22,147103_trimmed_01,471892,influx,,influx
32,316403776,289744207,18034001,influx,,influx
33,27456392,8630068057,147025,influx,,influx
34,26653902.22,471882_trimmed_01,1099465448,influx,,influx
35,26653463,292342496,292342693,influx,,influx
36,325030860,1238967176,325030860-AddedOffRampNode,influx,,influx
37,325882161,1578755572,1607570480,influx,,influx
38,256297919,12215025,2619671754,influx,,influx
39,253354841.30,647745655_trimmed_01,1581762617,influx,,influx
40,326360861,3329934598,29399606,influx,,influx
41,326367892,3329995334,375609,influx,,influx
42,326391246,3330241910,1581762671,influx,,influx
43,326391248,1581762731,146710,influx,,influx
44,246627701,247366622,146855,influx,,influx
45,326418273.59,647745639_trimmed_02,125075834,influx,,influx
46,2413203#0,128959,130125,influx,,influx
47,233223712,1951579828,249309579,influx,,influx
48,55943637.16,106370595_trimmed_01,106370656,influx,,influx
49,290258255,2938089549,531076597,influx,,influx
50,128901040,1794201,1423221608,influx,,influx
51,141620509,141620509-AddedOnRampNode,281788,influx,,influx
52,8132542#1,8132542#1-AddedOnRampNode,269395641,influx,,influx
53,108490429,301503292,375781,influx,,influx
54,143476007,21053060,778269332,influx,,influx
55,128901043,1423221557,1423221612,influx,,influx
56,78343531.73,12778934_trimmed_2,12778935,influx,,influx
57,141620517#1.51,141620517#1_trimmed,282247,influx,,influx
58,128901037,1423221723,1423221663,influx,,influx
59,88687686,1029615020,1029614926,influx,,influx
60,88688748,1029615219,1029615236,influx,,influx
61,100871370#1,100871370#1-AddedOnRampNode,281822,influx,,influx
62,78343533.45,18277405_trimmed_1,2041194,influx,,influx
63,194606312,125070679,J3,outflux,,outflux
64,3987994,377428,3987994-AddedOffRampNode,outflux,,outflux
65,3995738,129077,331756969,outflux,,outflux
66,325882159,301761879,3325040798,outflux,,outflux
67,13589671,125070697,647745655_trimmed_02,outflux,,outflux
68,4004668,147018,146962,outflux,,outflux
69,3997140,375834,247365444,outflux,,outflux
70,290153188,2936875422,2936875425,outflux,,outflux
71,4005946,440566,241792598,outflux,,outflux
72,17552788,181764519,3176509736,outflux,,outflux
73,326372759,1029615343,3330053222,outflux,,outflux
74,31911252,471885,471882_trimmed_02,outflux,,outflux
75,256320645,2619847847,2619671677,outflux,,outflux
76,931112709,2131234077,289744202,outflux,,outflux
77,256297916,2619671762,268352171,outflux,,outflux
78,326348925,1550170701,282236,outflux,,outflux
79,375194824,1423221592,1423221730,outflux,,outflux
80,326381217,58711451,9489395_trimmed_02,outflux,,outflux
81,11855790,106370593,106370595_trimmed_02,outflux,,outflux
82,326367891,3329995329,3329995330,outflux,,outflux
83,128901038,1423221645,1423221646,outflux,,outflux
84,128901042,1423221638,1423221510,outflux,,outflux
85,228709306,249309576,253387944,outflux,,outflux
86,930774572,4804095376,1029321503,outflux,,outflux
87,128901055,1423221588,1423221521,outflux,,outflux
88,217356700,224348461,1059878661,outflux,,outflux
89,34955368,375852,375854,outflux,,outflux
90,11285555,482714971,4416311841,outflux,,outflux
91,34955369,410206938,4724536391,outflux,,outflux
92,35158446,412383912,197978814,outflux,,outflux
93,58149342,301760430,301760305,outflux,,outflux
94,35158448,412383917,412383919,outflux,,outflux
95,4005964,471965,8630068058,outflux,,outflux
96,365480197,3694897725,3323242393,outflux,,outflux
97,325882162,1607570480,301760257,outflux,,outflux
98,25632153,269395636,8285876,outflux,,outflux
99,141620518,282261,292344035,outflux,,outflux
100,146072518,1099560796,772779090,outflux,,outflux
101,143750308,1572998454,1572998476,outflux,,outflux
102,317414933,1099560779,2929927116,outflux,,outflux
103,143474812,1607553290,20958702_trimmed_1,outflux,,outflux
104,5212654,375809,18277405_trimmed_2,outflux,,outflux
105,164407575,26458251,1099538454,outflux,,outflux
106,146072519,293682866,12589290,outflux,,outflux
107,5212663,146774,3330987135,outflux,,outflux
108,149392147,1623777535,30419715_trimmed_01,outflux,,outflux
109,46737892,1581762638,647745674_trimmed_01,outflux,,outflux
110,149795919,1627457767,1577763072,outflux,,outflux
111,8132541,269396599,8132541-AddedOffRampNode,outflux,,outflux
112,27510276,301762153,27510276-AddedOffRampNode,outflux,,outflux
113,144655314,375729,1581762709,outflux,,outflux
114,4241833,25335965,25335961,outflux,,outflux
115,546312753,3330241909,1581762694,outflux,,outflux
116,144117526,2043498,298488780_trimmed_01,outflux,,outflux
117,5058084,34035887,1814253631,outflux,,outflux
118,64942250,315862636,11666517,outflux,,outflux
119,4059029,1828305746,17252207,outflux,,outflux
120,4059027,1685004114,12778934_trimmed_1,outflux,,outflux
121,144557361,146622,1581043485,outflux,,outflux
122,9934277,1580169075,9934277-AddedOffRampNode,junctional,,junctional
123,290420126,2939489896,427301,junctional,,junctional
124,29131180,147162,12215022,junctional,,junctional
125,31911247,471892,1099465454,junctional,,junctional
126,326360866,128970,564062,junctional,,junctional
127,326360867,564059,2156703757,junctional,,junctional
128,326360868,1656202342,128970,junctional,,junctional
129,9934275,375841,3331556521,junctional,,junctional
130,326360873,3329934602,292339971,junctional,,junctional
131,326360875,2592685924,128971,junctional,,junctional
132,290420123,3833847084,1999722420,junctional,,junctional
133,290420120,2004006679,1059826936,junctional,,junctional
134,9934277-AddedOffRampEdge,9934277-AddedOffRampNode,21690978,junctional,,junctional
135,326360863,273158,3329934609,junctional,,junctional
136,295655356,34035887,34035893,junctional,,junctional
137,325882181,301761611,2010850227,junctional,,junctional
138,9934272,81479847,1580169075,junctional,,junctional
139,985636253,267722,267723,junctional,,junctional
140,31910199,315862636,471892,junctional,,junctional
141,989148873,7138404371,3833847084,junctional,,junctional
142,318893120,1099465454,267713,junctional,,junctional
143,318893118,3252894187,412383917,junctional,,junctional
144,320024434,3265288561,268348879,junctional,,junctional
